파일명,분류,이름,위도 ,경도,고도
20220428_085831,초본,철쭉(흰),37 30 2.27555900000155,127 0 58.8031199999968521,70
20220428_085843,초본,장미,37 30 2.27555900000155,127 0 58.8031199999968521,70
20220428_085904,초본,접시꽃,37 30 2.27555900000155,127 0 58.8031199999968521,70
20220428_085913,초본,철쭉(흰),37 30 2.27555900000155,127 0 58.8031199999968521,70
20220428_085933,초본,비비추,37 30 2.20175899998857,127 0 59.307120000012219,70
20220428_085940,초본,접시꽃,37 30 2.20175899998857,127 0 59.307120000012219,70
20220428_085947,초본,부들,37 30 2.20175899998857,127 0 59.307120000012219,70
20220428_085955,초본,수련,37 30 2.20175899998857,127 0 59.307120000012219,70
20220428_090000,초본,미나리,37 30 2.20175899998857,127 0 59.307120000012219,70
20220428_090024,초본,창포,37 30 2.2715989999996112,127 1 0.310799000028052497,108
20220428_090047,초본,애플민트,37 30 2.2715989999996112,127 1 0.310799000028052497,108
20220428_090109,초본,쑥,37 30 2.2715989999996112,127 1 0.310799000028052497,108
20220428_090123,목본,주목,37 30 2.48723999998773593,127 1 0.195958999975109904,91
20220428_090137,목본,향나무,37 30 2.48723999998773593,127 1 0.195958999975109904,91
20220428_090201,초본,민들레,37 30 2.48723999998773594,127 1 0.195958999975109904,91
20220428_090218,초본,민들레,37 30 2.48723999998773595,127 1 0.195958999975109904,91
20220428_090321,초본,철쭉(흰),37 30 2.23308000000550066,127 1 0.716519000008704,92
20220428_090406,목본,느티나무,37 30 2.23308000000550077,127 1 0.716519000008704,92
20220428_090437,목본,메타세쿼이아,37 30 0.889919000008347894,127 1 1.655399999998872922,76
20220428_090448,목본,메타세쿼이아,37 30 0.889919000008347894,127 1 1.655399999998872922,36
20220428_090454,목본,메타세쿼이아,37 30 0.889919000008347894,127 1 1.655399999998872922,76
20220428_090502,목본,측백나무,37 30 0.889919000008347894,127 1 1.655399999998872922,76
20220428_090526,목본,죽단화,37 30 0.8618389999990141,127 1 1.774918999998857949,67
20220428_090539,목본,메타세쿼이아,37 30 0.889919000008347894,127 1 1.655399999998872922,76
20220428_090543,목본,메타세쿼이아,37 30 0.889919000008347894,127 1 1.655399999998872922,76
20220428_090554,목본,메타세쿼이아,37 30 0.889919000008347894,127 1 1.655399999998872922,76
20220428_090652,목본,단풍나무,37 30 0.73691899998813426,127 1 1.7796000000089407,65
20220428_090702,목본,등나무,37 30 0.736918999998813426,127 1 1.7796000000089407,65
20220428_090729,목본,자귀나무,37 30 5.29919900000095367,127 1 58.448879999981275,114
20220428_090748,목본,소나무,37 30 5.29919900000095367,127 1 58.448879999981275,114
20220428_090810,목본,소나무,37 30 5.29919900000095367,127 1 58.448879999981275,114
20220428_090834,목본,목련,37 29 59.8786789999986897,127 1 0.73343999998178866,84
20220428_090843,초본 ,철쭉(빨),37 29 59.8786789999986897,127 1 0.73343999998178866,84
20220428_090853,초본 ,철쭉(자),37 29 59.8786789999986897,127 1 0.73343999998178866,84
20220428_090907,목본,감나무,37 30 2.48600000004409571,127 1 0.250318999984306956,52
20220428_090915,목본,감나무,37 30 2.48600000004409571,127 1 0.250318999984306956,52
20220428_091121,목본,박태기나무,37 30 1.70423900001324569,127 1 58.5082800000091083,51
20220428_091135,목본,산수유나무,37 30 1.70423900001324569,127 1 58.5082800000091083,51
20220428_091205,목본,대추나무,37 30 1.926719999857757,127 1 56.7169199999771081,62
20220428_091214,목본,목련,37 30 1.926719999857757,127 1 56.7169199999771081,62
20220428_091228,목본,등나무,37 30 1.92671999998857757,127 1 56.7169199999771081,62
20220428_091303,목본,단풍나무,37 30 3.09168000001221799,127 1 58.8227240000013262,55
20220428_091316,목본,팔손이나무,37 30 3.09168000001221799,127 1 58.8227240000013262,55
20220428_091333,목본,느티나무,37 30 3.11168000001221799,127 1 58.9227240000013262,55
20220428_091405,목본,느티나무,37 30 3.80736000000060992,127 1 59.7488390000071377,59
20220428_091716,목본,느티나무,37 30 3.7976389999966421,127 1 59.930279999713898,59
20220428_145941,목본,백담나무,37 29 59.6468389999937187,127 1 3.80171899998095419,0
20220428_145953,목본,회양목,37 30 1.4338799999969092,127 1 1.41239999997196275,159
20220428_150003,초본,철쭉(흰),37 30 1.4338799999969092,127 1 1.41239999997196275,159
20220428_150008,초본,철쭉(자),37 30 1.4338799999969092,127 1 1.41239999997196275,159
