게더타운 식물 이름,뿌리 생김새,다양한 뿌리기능,줄기 생김새,식물의 분류,게더타운에서 찾은 장소
주목,굵고 곧은 뿌리에 가는 뿌리,,,나무,6-1 교실 안
민들레,굵고 곧은 뿌리에 가는 뿌리,,,꽃,6-1 교실 안
고구마,뿌리가 열매처럼 생김,저장기능,,뿌리,학교 안
철쭉,가늘고 긴 여러가닥의 뿌리,,,꽃,학교 안
향나무,굵고 곧은 뿌리,,,나무,6-1 교실 안
인삼,굵고 곧은 뿌리에 가는 뿌리,,,,
산수유,굵고 곧은 뿌리에 가는 뿌리,,,,
단풍나무,굵고 곧은 뿌리에 가는 뿌리,,,나무,
목련,곧은 뿌리,,,나무,
벛꽃,굵고 곧은 뿌리에 가는 뿌리,,,,
향나무,굵고 곧은 뿌리에 가는 뿌리,,,나무,
등나무,굵고 곧은 뿌리에 가는 뿌리,,,나무,
산삼(?),굵고 곧은 뿌리에 가는 뿌리,,,풀,
느티나무,곧은 뿌리,"지지, 흡수",굵고 곧다,나무,
주목,굵고 곧은 뿌리에 가는 뿌리,,,,
옥수수,수염뿌리,,,,
담쟁이 덩굴,굵고 곧은 뿌리에 가는 뿌리,,,풀,
박테기나무,굵고 곧은 뿌리와 가는뿌리,,,나무,
철쭉,곧은뿌리,,,풀,
민들레,수염 뿌리,,,풀,
측백나무,굵고 곧은 뿌리와 가는뿌리,,,나무,
새삼,굵고 곧은 뿌리와 가는뿌리,,,,
당근,굵고 곧은 뿌리와 가는뿌리,,,풀,
철쭉,굵고 곧은 뿌리와 가는뿌리,버팀뿌리,곧은 줄기,나무,학교 밖
옥수수,여러 가닥의 수염모양 뿌리,호흡뿌리,감는 줄기,풀,교실배치도
향나무,굵고 곧은 뿌리와 가는뿌리,저장뿌리,기는 줄기,나무,6-2교실
옥수수,여러 가닥의 수염모양 뿌리,호흡뿌리,감는 줄기,나무,학교 밖
철쭉,감은 줄기,부착뿌리,가는 줄기,나무,교실배치도
느티나무,곧은 줄기,버팀뿌리,곧은 줄기,나무,
철쭉,곧은 줄기,부착뿌리,곧은줄기,풀,학교밖
느티나무,굵고 곧은 뿌리와 가는뿌리,버팀뿌리,곧은줄기,나무,학교밖
박태기나무,굵고 곧은 뿌리와 가는뿌리,,곧은줄기,나무,6-1반
인삼,굵고 곧은 뿌리와 가는뿌리,,가는 줄기,풀,6-1반
목련,굵고 곧은 뿌리와 가는뿌리,,,나무,운동장
메타세콰이어,굵고 곧은 뿌리와 가는뿌리,수직 경사근????,,,6-1반
철쭉,굵고 곧은 뿌리와 가는뿌리,버팀뿌리,곧은 줄기,나무,학교 밖
옥수수,여러 가닥의 수염모양 뿌리,호흡뿌리,감는 줄기,풀,교실배치도
향나무,굵고 곧은 뿌리와 가는뿌리,저장뿌리,기는 줄기,나무,6-2교실
철쭉,굵고 단단한 뿌리,지지기능,곧은 줄기,유,풀
주목,수염처럼 가는 뿌리,지지기능,곧은 줄기,유,나무
민들레,굵고곧은 뿌리에 가는 뿌리,"흡수,저장,지지 기능",기는 줄기,유,풀
인삼,여러 가닥의 수염 모양 뿌리,"지지기능, 저장기능",곧은 줄기,무,풀
담쟁이 덩굴,개구리 발처럼 여러가닥으로 난 뿌리,지지기능,감는 줄기,유,풀
산수유,여러 가닥의 수염 모양 뿌리,,굵고 곧은 줄기,나무,학교 안
창포,여러 가닥의 수염 모양 뿌리,,가늘고 긴 줄기,풀,운동장
철쭉,굵고 곧은 뿌리와 가는 뿌리,,굵은 줄기,나무,
등나무,여라가닥의 수염 모양 뿌리,버팀뿌리,굵고 곧은 줄기,나무,
